ERR10671864-Aligned.out.sorted.bam ERR10671865-Aligned.out.sorted.bam ERR10671866-Aligned.out.sorted.bam ERR10671867-Aligned.out.sorted.bam SRR7405885-Aligned.out.sorted.bam
PP4_RS00005 601 637 613 0 721
PP4_RS00010 471 455 412 0 558
PP4_RS00015 213 216 214 0 440
PP4_RS00020 1451 1410 1423 0 992
PP4_RS00025 10 7 6 0 18
PP4_RS00030 30 30 28 0 47
PP4_RS00035 51 56 48 0 63
PP4_RS00040 92 97 89 0 255
PP4_RS00045 226 237 216 0 437
PP4_RS00050 379 359 365 0 398
PP4_RS00055 515 533 542 0 665
PP4_RS00065 96 101 102 0 141
PP4_RS00070 46 43 46 0 87
PP4_RS00075 42 38 62 0 79
PP4_RS00080 16 11 21 0 421
PP4_RS00090 207 233 233 0 8294
PP4_RS00095 27 25 44 0 800
PP4_RS00100 16 7 8 0 1259
PP4_RS00105 780 743 834 0 2437
PP4_RS00110 368 355 331 0 2061
PP4_RS00115 6 12 12 0 386
PP4_RS00120 3 7 9 0 1614
PP4_RS00125 11 7 7 0 867
PP4_RS00130 4 5 7 0 587
PP4_RS00135 21 13 14 0 502
PP4_RS00140 18 23 19 0 148
PP4_RS00145 103 91 95 0 205
PP4_RS00150 91 83 104 0 55
PP4_RS00155 50 52 53 0 500
PP4_RS00160 3 8 10 0 2353
PP4_RS00165 58 48 54 0 3671
PP4_RS00170 25 19 28 0 1469
PP4_RS00175 27 31 34 0 938
PP4_RS00180 16 21 27 0 2184
PP4_RS00185 6 5 7 0 297
PP4_RS00190 4 2 2 0 28
PP4_RS00195 26 34 27 0 42
PP4_RS00200 250 205 223 0 442
PP4_RS00205 15 18 13 0 157
PP4_RS00210 5 9 3 0 0
PP4_RS00215 303 305 318 0 141
PP4_RS00220 107 97 118 0 22
PP4_RS00225 3 5 3 0 0
PP4_RS00230 40 39 44 0 40
PP4_RS00235 1010 963 1040 0 46
PP4_RS00240 165 141 153 0 37
PP4_RS00245 40 44 29 0 43
PP4_RS00250 71 61 77 0 55
PP4_RS00255 456 486 516 0 755
PP4_RS00260 512 529 542 0 650
PP4_RS00265 111 111 103 0 175
PP4_RS00270 142 160 167 0 273
PP4_RS00275 26 34 21 0 10
PP4_RS00280 131 155 152 0 117
PP4_RS00285 59 55 65 0 172
PP4_RS00290 42 44 49 0 120
PP4_RS00295 110 119 86 0 513
PP4_RS00300 33 30 38 0 64
PP4_RS00305 96 112 80 0 119
PP4_RS00310 19 20 15 0 3
PP4_RS00315 621 644 633 0 327
PP4_RS00320 0 0 0 0 0
PP4_RS00325 200 183 191 0 250
PP4_RS00330 116 103 137 0 133
PP4_RS00335 16 20 10 0 59
PP4_RS00340 46 63 70 0 136
PP4_RS00345 18 22 21 0 30
PP4_RS00350 8 7 10 0 0
PP4_RS00355 19 19 26 0 57
PP4_RS00360 38 40 49 0 90
PP4_RS00365 38 58 54 0 63
PP4_RS00370 78 56 75 0 158
PP4_RS00375 45 38 40 0 68
PP4_RS00380 118 101 101 0 96
PP4_RS00385 2 0 2 0 0
PP4_RS00390 221 197 210 0 11
PP4_RS00395 122 103 114 0 193
PP4_RS00400 45 39 50 0 15
PP4_RS00405 50 44 37 0 12
PP4_RS00410 196 212 185 0 500
PP4_RS00415 22 13 17 0 23
PP4_RS00420 15 23 16 0 18
PP4_RS00425 36 41 28 0 69
PP4_RS00430 55 57 45 0 53
PP4_RS00435 636 646 647 0 1436
PP4_RS00440 45 61 59 0 7
PP4_RS00445 26 25 17 0 2
PP4_RS00450 122 100 124 0 146
PP4_RS00455 72 63 53 0 78
PP4_RS00460 461 531 496 0 4881
PP4_RS00465 909 896 874 0 759
PP4_RS00470 206 198 214 0 151
PP4_RS00475 39 45 40 0 69
PP4_RS00480 98 102 129 0 157
PP4_RS00485 26 26 18 0 26
PP4_RS00490 0 1 2 0 2
PP4_RS00495 4 5 2 0 2
PP4_RS00500 44 32 31 0 42
PP4_RS00505 19 30 19 0 40
PP4_RS00510 85 83 74 0 207
PP4_RS00515 501 485 494 0 516
PP4_RS00520 76 81 86 0 139
PP4_RS00525 110 114 112 0 344
PP4_RS00530 93 90 76 0 230
PP4_RS00535 56 62 62 0 164
PP4_RS00540 15 17 12 0 3
PP4_RS00545 37 30 35 0 77
PP4_RS00550 9 12 13 0 55
PP4_RS00555 71 78 69 0 8
PP4_RS00560 213 227 225 0 451
PP4_RS00565 326 292 290 0 211
PP4_RS00570 334 287 283 0 514
PP4_RS00575 436 438 395 0 1172
PP4_RS00580 646 574 608 0 977
PP4_RS00585 832 931 868 0 497
PP4_RS00590 405 414 472 0 1729
PP4_RS00595 94 97 92 0 157
PP4_RS00600 58 47 37 0 52
PP4_RS00605 105 63 73 0 73
PP4_RS00610 17 18 22 0 4
PP4_RS00615 43 45 60 0 74
PP4_RS00620 126 101 117 0 192
PP4_RS00625 18 19 18 0 14
PP4_RS00630 2 5 2 0 1
PP4_RS00640 52 34 24 0 48
PP4_RS00645 124 117 116 0 53
PP4_RS00650 58 60 63 0 218
PP4_RS00655 19 19 23 0 4
PP4_RS00660 52 49 48 0 25
PP4_RS00665 18 22 15 0 3
PP4_RS00670 30 40 40 0 42
PP4_RS00675 21 19 30 0 148
PP4_RS00680 52 59 44 0 124
PP4_RS00685 51 73 62 0 44
PP4_RS00690 40 46 43 0 198
PP4_RS00695 96 91 93 0 169
PP4_RS00700 7 13 14 0 3
PP4_RS00705 28 32 29 0 185
PP4_RS00710 25 33 28 0 113
PP4_RS00715 12 6 2 0 3
PP4_RS00720 0 0 0 0 0
PP4_RS00725 1651 1664 1715 0 7065
PP4_RS00730 577 607 581 0 2062
PP4_RS00735 238 245 276 0 97
PP4_RS00740 8 10 8 0 3
PP4_RS00745 176 151 172 0 78
PP4_RS00750 20 17 18 0 5
PP4_RS00755 1692 1574 1629 0 88
PP4_RS00760 162 186 142 0 3
PP4_RS00765 2 0 1 0 0
PP4_RS00770 0 0 0 0 0
PP4_RS00775 0 1 0 0 0
PP4_RS00780 0 0 0 0 1
PP4_RS00785 0 0 4 0 8
PP4_RS00790 4 7 8 0 1
PP4_RS00795 0 0 0 0 0
PP4_RS00800 1 0 1 0 0
PP4_RS00805 1 3 4 0 3
PP4_RS00810 48 37 47 0 21
PP4_RS00815 6 2 4 0 0
PP4_RS00820 14 22 22 0 4
PP4_RS00825 17 16 13 0 14
PP4_RS00830 25 35 32 0 28
