study_accession,sample_accession,experiment_accession,run_accession,library_layout,fastq_ftp
PRJNA450701,SAMN08944411,SRX3961844,SRR7029604,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR702/004/SRR7029604/SRR7029604.fastq.gz
PRJNA450701,SAMN08944411,SRX3961836,SRR7029612,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR702/002/SRR7029612/SRR7029612.fastq.gz
PRJNA450701,SAMN08944411,SRX4277497,SRR7405882,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/002/SRR7405882/SRR7405882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/002/SRR7405882/SRR7405882_2.fastq.gz
PRJNA450701,SAMN08944411,SRX3961846,SRR7029602,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR702/002/SRR7029602/SRR7029602.fastq.gz
PRJNA450701,SAMN08944411,SRX3961843,SRR7029605,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR702/005/SRR7029605/SRR7029605.fastq.gz
PRJNA450701,SAMN08944411,SRX3961838,SRR7029610,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR702/000/SRR7029610/SRR7029610.fastq.gz
PRJNA450701,SAMN08944411,SRX3961835,SRR7029613,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR702/003/SRR7029613/SRR7029613.fastq.gz
PRJNA450701,SAMN08944411,SRX4277499,SRR7405880,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/000/SRR7405880/SRR7405880.fastq.gz
PRJNA450701,SAMN08944411,SRX4277494,SRR7405885,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/005/SRR7405885/SRR7405885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/005/SRR7405885/SRR7405885_2.fastq.gz
PRJNA450701,SAMN08944411,SRX4277498,SRR7405881,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/001/SRR7405881/SRR7405881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/001/SRR7405881/SRR7405881_2.fastq.gz
PRJNA450701,SAMN08944411,SRX4277496,SRR7405883,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/003/SRR7405883/SRR7405883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/003/SRR7405883/SRR7405883_2.fastq.gz
PRJNA450701,SAMN08944411,SRX4277495,SRR7405884,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/004/SRR7405884/SRR7405884.fastq.gz
PRJNA450701,SAMN08944411,SRX4277492,SRR7405887,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/007/SRR7405887/SRR7405887.fastq.gz
PRJNA450701,SAMN08944411,SRX3961845,SRR7029603,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR702/003/SRR7029603/SRR7029603.fastq.gz
PRJNA450701,SAMN08944411,SRX3961842,SRR7029606,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR702/006/SRR7029606/SRR7029606.fastq.gz
PRJNA450701,SAMN08944411,SRX3961841,SRR7029607,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR702/007/SRR7029607/SRR7029607.fastq.gz
PRJNA450701,SAMN08944411,SRX3961840,SRR7029608,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR702/008/SRR7029608/SRR7029608.fastq.gz
PRJNA450701,SAMN08944411,SRX3961839,SRR7029609,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR702/009/SRR7029609/SRR7029609.fastq.gz
PRJNA450701,SAMN08944411,SRX3961837,SRR7029611,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR702/001/SRR7029611/SRR7029611.fastq.gz
PRJNA450701,SAMN08944411,SRX4277493,SRR7405886,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/006/SRR7405886/SRR7405886.fastq.gz
